Name,Rebounds,Fouls,Points,Salary
Jeremy Lamb,252,105,580,6511628
Jeremy Lin,253,165,914,11483254
Jerian Grant,143,97,426,1643040
Jerryd Bayless,141,111,541,9424084
Jimmy Butler,358,124,1399,17552209
Joakim Noah,255,77,124,17000000
Jodie Meeks,5,2,22,6540000
Joe Harris,3,1,3,980431
Joe Ingles,151,98,342,2250000
Joe Johnson,584,292,1984,11000000
Joffrey Lauvergne,290,115,465,1709720
John Henson,221,131,397,12517606
John Jenkins,114,44,356,1050961
John Wall,379,159,1531,16957900
Jon Leuer,373,125,567,10991957
Jonas Jerebko,288,137,340,5000000
Jonas Valanciunas,547,158,768,14382022
Jonathon Simmons,96,103,331,874636
Jordan Adams,2,2,7,1465080
Jordan Clarkson,313,168,1225,12500000
Jordan Farmar,25,22,110,510921
Jordan Hill,451,155,645,3911380
Jordan McRae,40,34,198,874636
Jordan Mickey,13,5,21,1223653
Jose Calderon,229,135,544,7708427
Joseph Young,50,30,154,1052342
Josh Huestis,10,3,14,1191480
Josh McRoberts,105,68,150,5782450
Josh Richardson,107,107,341,874636
Josh Smith,384,236,664,5400000
Jrue Holiday,195,148,1089,11286518
Julius Randle,829,242,919,3267120
Justin Anderson,132,45,208,1514160
Justin Holiday,180,122,478,1015696
Justise Winslow,403,184,502,2593440
Jusuf Nurkic,175,91,263,1921320
K.J. McDaniels,42,30,89,3333333
Karl-Anthony Towns,857,245,1503,5960160
Kawhi Leonard,493,133,1523,17638063
Kelly Olynyk,281,163,687,3094014
Kelly Oubre,133,100,236,2006640
Kemba Walker,357,111,1689,12000000
Kenneth Faried,581,169,835,12078652
Kent Bazemore,379,176,872,15730338
Kentavious Caldwell-Pope,282,167,1105,3678319
Kevin Durant,589,137,2029,26540100
Kevin Garnett,150,70,122,8000000
Kevin Love,762,159,1234,21165675
Kevin Martin,220,166,1028,1360305
Kevin Seraphin,126,67,187,1800000
Kevon Looney,10,2,9,1182840
Khris Middleton,302,204,1434,15200000
Klay Thompson,306,152,1771,16663575
Kosta Koufos,423,185,529,8046500
Kris Humphries,436,188,686,4000000
Kristaps Porzingis,526,205,1028,4317720
Kyle Anderson,244,97,350,1192080
Kyle Korver,260,161,739,5239437
Kyle Lowry,365,211,1634,12000000
Kyle O'Quinn,250,107,309,3900000
Kyle Singler,141,120,231,4837500
Kyrie Irving,157,107,1041,17638063
Lamar Patterson,50,45,84,100000
LaMarcus Aldridge,632,151,1331,20575005
Lance Stephenson,446,270,1146,1227286
Lance Thomas,131,109,484,6191000
Langston Galloway,288,177,625,5200000
Larry Nance Jr.,312,124,349,1207680
Lavoy Allen,424,147,428,4000000
Leandro Barbosa,117,107,433,4000000
LeBron James,565,143,1920,30963450
Lou Amundson,49,44,52,1551659
Lou Williams,169,107,1028,7000000
Luc Mbah a Moute,171,100,231,2203000
Lucas Nogueira,46,29,65,1921320
Luis Scola,360,178,664,5000000
Luke Babbitt,148,90,327,1227000
Luol Deng,443,122,911,18000000
Manu Ginobili,146,99,555,14000000
Marc Gasol,362,141,861,21165675
Marcelo Huertas,90,76,237,1500000
Marcin Gortat,741,193,1012,12000000
Marco Belinelli,117,91,696,6333333
Marcus Morris,404,170,1131,4625000
Marcus Smart,255,183,558,3578880
Marcus Thornton,300,180,1180,1315448
Mario Hezonja,176,124,478,3909840
Markieff Morris,704,368,1530,7400000
Marreese Speights,239,117,512,1403611
Marvin Williams,521,133,948,12250000
Mason Plumlee,628,253,749,2328530
Matt Barnes,420,234,758,6125000
Matthew Dellavedova,162,178,569,9607500
Maurice Harkless,280,124,498,8988764
Metta World Peace,89,67,176,1551659
Meyers Leonard,314,183,511,9213484
Michael Beasley,98,39,255,1403611
Michael Carter-Williams,276,162,623,3183526
Michael Kidd-Gilchrist,45,9,89,13000000
Mike Conley,164,100,857,26540100
Mike Dunleavy,83,66,222,4837500
Mike Miller,53,53,63,3500000
Mike Muscala,117,72,195,1015696
Mike Scott,206,102,464,3333334
Miles Plumlee,232,73,314,12500000
Mirza Teletovic,302,159,965,10500000
Mitch McGary,18,10,26,1526040
Mo Williams,72,60,338,2200000
Monta Ellis,271,174,1121,10770000
Montrezl Harrell,65,48,140,1000000
Myles Turner,332,158,619,2463840
Nemanja Bjelica,210,154,308,3800000
Nene Hilario,259,156,525,2898000
Nerlens Noel,542,192,747,4384490
Nick Collison,171,107,123,3750000
Nick Young,97,50,392,5443918
Nicolas Batum,428,114,1046,20869566
Nik Stauskas,183,115,617,2993040
Nikola Jokic,560,208,796,1358500
Nikola Mirotic,362,151,777,5782450
Nikola Pekovic,21,22,54,12100000
Nikola Vucevic,576,173,1181,11750000
Noah Vonleh,305,152,283,2751360
Norman Powell,111,59,273,874636
Omer Asik,414,124,269,9904494
Omri Casspi,410,154,813,3000000
Otto Porter,391,163,871,5893981
P.J. Tucker,512,202,652,5300000
Pablo Prigioni,114,82,145,1050961
Pat Connaughton,32,6,36,874636
Patrick Beverley,250,234,700,6000000
Patrick Mills,158,102,690,3578948
Patrick Patterson,342,128,543,6050000
Pau Gasol,793,148,1187,15500000
Paul George,563,230,1874,18314532
Paul Millsap,732,237,1385,20072033
Paul Pierce,186,129,417,3500000
Phil Pressey,62,56,154,35000
Quincy Acy,188,103,307,1050961
R.J. Hunter,37,29,97,1200240
Rajon Rondo,435,175,859,14000000
Rakeem Christmas,1,1,4,1052342
Ramon Sessions,203,102,810,6000000
Randy Foye,312,262,948,2500000
Rashad Vaughn,88,73,217,1811040
Raul Neto,120,122,476,937800
Raymond Felton,258,141,763,1551659
Reggie Bullock,68,29,122,2255644
Reggie Jackson,253,187,1489,14956522
Richard Jefferson,128,129,410,2500000
Richaun Holmes,135,92,287,1025831
Ricky Rubio,326,201,766,13550000
Robert Covington,419,232,858,1015696
Robin Lopez,602,182,842,13219250
Rodney Hood,267,202,1149,1406520
Rodney Stuckey,156,77,517,7000000
Rondae Hollis-Jefferson,154,61,167,1395600
Ronnie Price,99,161,331,2557545
Roy Hibbert,398,252,481,5000000
Rudy Gay,456,184,1204,13333333
Rudy Gobert,668,163,557,2121288
Russell Westbrook,626,200,1878,26540100
Ryan Anderson,396,109,1124,18735364
Ryan Kelly,121,39,152,0
Salah Mejri,123,54,125,874636
Sam Dekker,1,0,0,1720560
Sasha Kaun,26,11,23,1333420
Sasha Vujacic,149,83,296,1410598
Sean Kilpatrick,112,74,690,980431
Serge Ibaka,533,211,983,12250000
Seth Curry,60,41,299,2898000
Shabazz Muhammad,267,94,863,3046299
Shabazz Napier,55,38,203,1350120
Shaun Livingston,169,140,488,5782450
Shelvin Mack,256,144,896,2433334
Solomon Hill,166,68,246,11241218
Spencer Hawes,244,111,340,6348759
Stanley Johnson,306,178,593,2969880
Stephen Curry,430,161,2375,12112359
Steve Novak,10,6,48,1551659
Steven Adams,533,223,636,3140517
T.J. McConnell,250,114,493,874636
T.J. Warren,147,94,515,2128920
Taj Gibson,504,180,627,8950000
